name,enabled,site_name,search_term,location,is_remote,distance,hours_old,results_wanted,country_indeed,linkedin_fetch_description,google_search_term
"Business Analyst (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Business Analyst,"Denver, CO",,25,24,1500,USA,TRUE,
"Business Analyst (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Business Analyst,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Operations Consultant (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Boulder, CO",,25,24,1500,USA,TRUE,
"Operations Consultant (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Operations Consultant (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Loveland, CO",,25,24,1500,USA,TRUE,
"Operations Consultant (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Operations Consultant (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Denver, CO",,25,24,1500,USA,TRUE,
"Operations Consultant (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Boulder, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Loveland, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Denver, CO",,25,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Operations Analyst (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Boulder, CO",,25,24,1500,USA,TRUE,
"Operations Analyst (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Operations Analyst (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Loveland, CO",,25,24,1500,USA,TRUE,
"Operations Analyst (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Operations Analyst (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Denver, CO",,25,24,1500,USA,TRUE,
"Operations Analyst (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,"Denver, CO",TRUE,,24,1500,USA,TRUE,
